ID,Created,Name,Description,Playlist URL
c2bb8e85c052406094a6bbaf40d7131d,2024-04-02T07:35:05Z,Songs of 1994,Choose a song released in the same year tkmaxx graced the uk with its first store! ,https://open.spotify.com/playlist/7kFvJSb5AauYFWLr6LECBA
4b06841e62d14044b58c15674af435d1,2024-04-02T07:35:06Z,The SQL’s better than the original,Songs previously covered by another artist ,https://open.spotify.com/playlist/6mKrPH0wgOVMU2GvCPO0mk
f1622edc341c4d93a723c83bd95562d1,2024-04-02T07:35:06Z,"I'm Sorry, Officer",Songs that make you drive fast,https://open.spotify.com/playlist/6ZtEv2yAQAYERZc7S2XNEV
f47e2f9f7bcc428397da3b5b0912077f,2024-04-02T07:35:06Z,Off-price vice ,"Choose a song that gets through those long days, cheesy hits only. ",https://open.spotify.com/playlist/3CRRVsEsi3eRxMEiUWBthb
329b70c2eec24828a99e4155f621b069,2024-04-02T07:35:07Z,1980s,Songs released in the 1980s,https://open.spotify.com/playlist/6WmthWaQpQhqNvtIDPQjSb
00152401dee44475992a217a464afd75,2024-04-02T07:35:07Z,"No, But Seriously",Songs that are often mocked but you insist are legimately good,https://open.spotify.com/playlist/0bm0lw8v61S2qBizcNv93O
ef932ad81b6b4adabc176e4ab782e955,2024-04-02T07:35:07Z,Country,Country songs,https://open.spotify.com/playlist/6UG5hrngMuDbdeMxUdLNZm
5c39f945153b418980b8505b8655a731,2024-04-02T07:35:08Z,Home Town Glory,Songs to come out of your home town… and if you’re from Coventry I’ll accept Birmingham!,https://open.spotify.com/playlist/5mkuQfAfNUCSZf6uYyYXMR
0e8e9234a2504392bfb764a2f4592534,2024-04-02T07:35:08Z,Guilty Pleasures,"Songs you genuinely love, but you're a little embarassed to like",https://open.spotify.com/playlist/0RkOnCzwMGpuNonR2f9maq
ec25df9b8f4b49b4ba4854659def644b,2024-04-02T07:35:08Z,One Hit Wonders,Well-known songs by bands or artists who never had another hit,https://open.spotify.com/playlist/17R5a9SIL3UB8mFXoNcQgJ
